# delta    ubar_pos    ubar_neg
0.000000    1.000000    1.000000
0.010000    0.995490    -8.581219
0.020000    0.990948    -7.576279
0.030000    0.986372    -6.979253
0.040000    0.981763    -6.550634
0.050000    0.977119    -6.214840
0.060000    0.972439    -5.938037
0.070000    0.967724    -5.702101
0.080000    0.962973    -5.496178
0.090000    0.958185    -5.313244
0.100000    0.953359    -5.148489
0.110000    0.948495    -4.998475
0.120000    0.943592    -4.860656
0.130000    0.938649    -4.733096
0.140000    0.933666    -4.614284
0.150000    0.928641    -4.503022
0.160000    0.923575    -4.398342
0.170000    0.918466    -4.299450
0.180000    0.913313    -4.205688
0.190000    0.908116    -4.116503
0.200000    0.902873    -4.031427
0.210000    0.897584    -3.950059
0.220000    0.892248    -3.872054
0.230000    0.886864    -3.797113
0.240000    0.881431    -3.724973
0.250000    0.875948    -3.655404
0.260000    0.870413    -3.588202
0.270000    0.864826    -3.523188
0.280000    0.859186    -3.460199
0.290000    0.853491    -3.399090
0.300000    0.847740    -3.339732
0.310000    0.841932    -3.282006
0.320000    0.836065    -3.225805
0.330000    0.830139    -3.171033
0.340000    0.824151    -3.117600
0.350000    0.818101    -3.065426
0.360000    0.811986    -3.014435
0.370000    0.805806    -2.964558
0.380000    0.799558    -2.915733
0.390000    0.793241    -2.867900
0.400000    0.786853    -2.821005
0.410000    0.780392    -2.774997
0.420000    0.773857    -2.729829
0.430000    0.767244    -2.685455
0.440000    0.760553    -2.641835
0.450000    0.753781    -2.598931
0.460000    0.746925    -2.556704
0.470000    0.739983    -2.515120
0.480000    0.732953    -2.474148
0.490000    0.725832    -2.433756
0.500000    0.718618    -2.393914
0.510000    0.711307    -2.354594
0.520000    0.703896    -2.315771
0.530000    0.696382    -2.277418
0.540000    0.688761    -2.239510
0.550000    0.681031    -2.202026
0.560000    0.673187    -2.164941
0.570000    0.665226    -2.128235
0.580000    0.657143    -2.091885
0.590000    0.648933    -2.055872
0.600000    0.640593    -2.020176
0.610000    0.632117    -1.984776
0.620000    0.623499    -1.949655
0.630000    0.614735    -1.914793
0.640000    0.605817    -1.880171
0.650000    0.596741    -1.845771
0.660000    0.587498    -1.811576
0.670000    0.578081    -1.777565
0.680000    0.568483    -1.743723
0.690000    0.558695    -1.710029
0.750000    0.495411    -1.509912
0.750100    0.495298    -1.509580
0.750200    0.495185    -1.509248
0.750300    0.495072    -1.508916
0.750400    0.494959    -1.508584
0.750500    0.494846    -1.508252
0.750600    0.494733    -1.507920
0.750700    0.494620    -1.507588
0.750800    0.494507    -1.507256
0.750900    0.494394    -1.506924
0.751000    0.494281    -1.506592
0.751100    0.494168    -1.506260
0.751200    0.494055    -1.505928
0.751300    0.493942    -1.505596
0.751400    0.493829    -1.505264
0.751500    0.493715    -1.504932
0.751600    0.493602    -1.504600
0.751700    0.493489    -1.504268
0.751800    0.493376    -1.503936
0.751900    0.493262    -1.503604
0.752000    0.493149    -1.503272
0.752100    0.493036    -1.502940
0.752200    0.492922    -1.502608
0.752300    0.492809    -1.502276
0.752400    0.492695    -1.501944
0.752500    0.492582    -1.501612
0.752600    0.492468    -1.501280
0.752700    0.492355    -1.500948
0.752800    0.492241    -1.500616
0.752900    0.492128    -1.500284
0.753000    0.492014    -1.499952
0.753100    0.491900    -1.499620
0.753200    0.491787    -1.499288
0.753300    0.491673    -1.498956
0.753400    0.491559    -1.498624
0.753500    0.491445    -1.498292
0.753600    0.491332    -1.497960
0.753700    0.491218    -1.497628
0.753800    0.491104    -1.497296
0.753900    0.490990    -1.496964
0.754000    0.490876    -1.496632
0.754100    0.490762    -1.496300
0.754200    0.490648    -1.495968
0.754300    0.490534    -1.495636
0.754400    0.490420    -1.495304
0.754500    0.490306    -1.494972
0.754600    0.490192    -1.494640
0.754700    0.490078    -1.494308
0.754800    0.489964    -1.493976
0.754900    0.489850    -1.493644
0.755000    0.489735    -1.493312
0.755100    0.489621    -1.492980
0.755200    0.489507    -1.492648
0.755300    0.489393    -1.492316
0.755400    0.489278    -1.491984
0.755500    0.489164    -1.491652
0.755600    0.489050    -1.491320
0.755700    0.488935    -1.490988
0.755800    0.488821    -1.490656
0.755900    0.488706    -1.490324
0.756000    0.488592    -1.489991
0.756100    0.488477    -1.489659
0.756200    0.488363    -1.489327
0.756300    0.488248    -1.488995
0.756400    0.488134    -1.488663
0.756500    0.488019    -1.488331
0.756600    0.487905    -1.487999
0.756700    0.487790    -1.487667
0.756800    0.487675    -1.487335
0.756900    0.487560    -1.487003
0.757000    0.487446    -1.486671
0.757100    0.487331    -1.486339
0.757200    0.487216    -1.486007
0.757300    0.487101    -1.485675
0.757400    0.486986    -1.485343
0.757500    0.486871    -1.485011
0.757600    0.486757    -1.484679
0.757700    0.486642    -1.484347
0.757800    0.486527    -1.484015
0.757900    0.486412    -1.483683
0.758000    0.486297    -1.483351
0.758100    0.486181    -1.483019
0.758200    0.486066    -1.482687
0.758300    0.485951    -1.482355
0.758400    0.485836    -1.482023
0.758500    0.485721    -1.481691
0.758600    0.485606    -1.481359
0.758700    0.485490    -1.481027
0.758800    0.485375    -1.480695
0.758900    0.485260    -1.480362
0.759000    0.485145    -1.480030
0.759100    0.485029    -1.479698
0.759200    0.484914    -1.479366
0.759300    0.484798    -1.479034
0.759400    0.484683    -1.478702
0.759500    0.484568    -1.478370
0.759600    0.484452    -1.478038
0.759700    0.484337    -1.477706
0.759800    0.484221    -1.477374
0.759900    0.484105    -1.477042
0.760000    0.483990    -1.476710
0.760100    0.483874    -1.476378
0.760200    0.483758    -1.476046
0.760300    0.483643    -1.475714
0.760400    0.483527    -1.475381
0.760500    0.483411    -1.475049
0.760600    0.483295    -1.474717
0.760700    0.483180    -1.474385
0.760800    0.483064    -1.474053
0.760900    0.482948    -1.473721
0.761000    0.482832    -1.473389
0.761100    0.482716    -1.473057
0.761200    0.482600    -1.472725
0.761300    0.482484    -1.472393
0.761400    0.482368    -1.472061
0.761500    0.482252    -1.471729
0.761600    0.482136    -1.471396
0.761700    0.482020    -1.471064
0.761800    0.481904    -1.470732
0.761900    0.481788    -1.470400
0.762000    0.481671    -1.470068
0.762100    0.481555    -1.469736
0.762200    0.481439    -1.469404
0.762300    0.481323    -1.469072
0.762400    0.481206    -1.468740
0.762500    0.481090    -1.468407
0.762600    0.480974    -1.468075
0.762700    0.480857    -1.467743
0.762800    0.480741    -1.467411
0.762900    0.480624    -1.467079
0.763000    0.480508    -1.466747
0.763100    0.480391    -1.466415
0.763200    0.480275    -1.466083
0.763300    0.480158    -1.465750
0.763400    0.480042    -1.465418
0.763500    0.479925    -1.465086
0.763600    0.479808    -1.464754
0.763700    0.479692    -1.464422
0.763800    0.479575    -1.464090
0.763900    0.479458    -1.463758
0.764000    0.479341    -1.463425
0.764100    0.479224    -1.463093
0.764200    0.479108    -1.462761
0.764300    0.478991    -1.462429
0.764400    0.478874    -1.462097
0.764500    0.478757    -1.461765
0.764600    0.478640    -1.461432
0.764700    0.478523    -1.461100
0.764800    0.478406    -1.460768
0.764900    0.478289    -1.460436
0.765000    0.478172    -1.460104
0.765100    0.478055    -1.459771
0.765200    0.477938    -1.459439
0.765300    0.477820    -1.459107
